,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire,Bosnia and Herzegovina,Botswana,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curazao,Cyprus,Czechia,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Polynesia,French South Antarctic Territory,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Republic of the Congo,Romania,Russia,Rwanda,Saint Barthelemy,"Saint Helena, Ascension, and Tristan da Cunha",Saint Kitts and Nevis,Saint Lucia,Saint Martin,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
Somalia,Northeast,Northwest,Northwest,East,Northwest,Southwest,West,West,West,North,West,East,Northwest,North,West,North,Northeast,West,North,Northwest,West,West,West,Northeast,West,West,Northwest,Southwest,West,Southeast,West,East,Northwest,West,Southwest,East,West,West,West,West,West,West,West,Northeast,East,East,West,South,East,West,West,Northwest,West,West,Northwest,Northwest,West,Northwest,Northwest,West,West,West,Northwest,West,West,Northwest,North,Southwest,Northwest,Southwest,Northwest,East,North,Northwest,East,Southeast,West,West,North,Northwest,West,Northwest,Northwest,Northwest,West,East,West,Northwest,West,West,West,West,West,East,Northwest,Northwest,Northeast,East,North,North,Northwest,Northwest,Northwest,Northwest,West,East,Northwest,North,Northeast,Southwest,East,Northwest,North,Northeast,East,Northwest,North,Southwest,West,Northwest,Northwest,Northwest,Northwest,East,South,Southwest,East,East,West,Northwest,East,West,Southeast,West,East,Northwest,Northwest,Northeast,Northwest,West,Northwest,Southwest,East,Southwest,East,Northeast,Northwest,East,East,West,West,West,East,East,Northeast,Northwest,East,Northwest,Northeast,Northeast,East,North,West,East,West,West,East,West,Northwest,Northwest,West,North,West,Northwest,Northeast,Southwest,West,Southwest,West,West,West,West,West,East,Northwest,West,North,West,Northwest,Southeast,West,East,West,Northwest,Northwest,East,#DIV/0!,Southwest,East,West,Northwest,East,Northwest,West,Northwest,Northwest,North,East,Northeast,Southwest,East,East,West,East,East,West,Northwest,North,North,West,East,West,West,North,Northeast,Northwest,West,West,Northeast,East,West,East,East,North,Southwest,Southwest
South Africa,Northeast,North,North,East,North,North,Northwest,Northwest,West,North,Northwest,East,North,North,Northwest,Northeast,Northeast,Northwest,North,North,Northwest,Northwest,Northwest,Northeast,West,Northwest,North,North,West,Northeast,Northwest,East,North,Northwest,North,Northeast,North,Northwest,Northwest,Northwest,North,North,West,Northeast,East,East,West,Northeast,East,West,Northwest,North,Northwest,Northwest,North,North,North,North,Northeast,Northwest,Northwest,West,North,West,North,North,North,Northeast,Northeast,West,West,East,Northeast,North,West,East,North,Northwest,North,North,Northwest,Northwest,North,West,Northwest,East,West,North,Northwest,Northwest,Northwest,Northwest,Northwest,Northeast,North,West,Northeast,East,Northeast,North,North,North,North,North,Northwest,Northeast,North,North,Northeast,Northeast,East,North,North,Northeast,Northeast,North,North,East,Northwest,North,North,North,North,Northeast,Northeast,Northeast,Northeast,Northeast,Northwest,North,East,Northwest,East,Northwest,East,North,North,Northeast,North,Northwest,Northwest,Northeast,Northeast,Northwest,East,Northeast,North,East,East,West,North,North,East,East,Northeast,North,East,West,Northeast,Northeast,East,North,West,East,West,West,Northeast,West,North,Northwest,Northwest,Northeast,North,North,East,North,Northwest,West,Northwest,Northwest,Northwest,Northwest,Northwest,East,North,Northwest,North,Northwest,North,Northeast,Northwest,East,Northwest,North,North,East,Northeast,#DIV/0!,Northeast,North,North,Northeast,North,Northwest,West,North,North,Northeast,Northeast,Northeast,Northeast,East,Northwest,East,East,Northwest,North,North,Northeast,Northwest,East,Northwest,North,North,Northeast,North,Northwest,West,Northeast,East,West,Northeast,East,Northeast,North,Northeast
South Korea,West,West,West,Southeast,West,Southwest,East,East,Southeast,West,East,South,West,West,East,West,West,East,West,West,East,West,East,West,East,East,West,Southwest,West,Southwest,East,Southwest,West,West,West,Southwest,West,East,West,East,West,West,Southeast,West,Southwest,Southwest,East,Southwest,Southeast,East,West,West,East,East,West,West,West,West,West,East,East,East,West,East,West,West,West,Southwest,West,Southeast,West,Southeast,West,West,Southeast,Southwest,West,West,West,West,West,West,West,West,East,Southeast,East,West,West,West,East,East,East,Southwest,West,West,West,South,West,West,West,West,West,West,East,East,West,West,West,West,Southeast,West,West,West,Southwest,West,West,Southwest,West,West,West,West,West,Southwest,Southwest,Southwest,Southwest,Southwest,West,West,Southeast,West,Southwest,East,Southeast,West,West,Northwest,West,East,West,Southwest,Southwest,Southwest,Southeast,West,West,Southeast,Southeast,East,West,West,Southeast,Southeast,North,West,Southeast,West,West,West,South,West,East,South,East,East,South,Southeast,West,West,East,West,West,West,Northwest,West,East,Southwest,East,East,East,East,East,Southeast,West,West,West,West,West,Southwest,West,Southwest,East,West,West,Southeast,West,Southwest,#DIV/0!,West,West,Southwest,West,East,West,West,West,Southwest,West,Southwest,Southwest,South,West,Southeast,Southeast,East,West,West,West,East,Southeast,East,West,West,West,West,East,East,West,Southeast,East,Southwest,Southeast,West,Southwest,Southwest
South Sudan,Northeast,North,Northwest,East,Northwest,Southwest,West,West,Southwest,North,West,East,North,Northeast,West,Northeast,East,West,North,Northwest,West,West,West,East,West,West,North,South,West,East,West,East,North,West,South,East,West,West,West,West,West,Northwest,West,East,East,East,West,Southeast,East,West,West,Northwest,West,West,North,North,Southwest,Northwest,Northeast,West,West,West,North,West,West,Northeast,North,South,East,Southwest,Northwest,East,North,Northwest,East,Southeast,West,West,North,Northwest,West,Northwest,North,Northwest,West,East,West,Northwest,West,West,West,West,West,East,North,Northwest,East,East,Northeast,Northeast,Northwest,Northwest,North,Northwest,West,East,Northwest,North,Northeast,Southeast,East,North,Northeast,Northeast,East,North,North,South,West,Northwest,Northwest,North,Northwest,East,Southeast,South,East,East,West,Northwest,East,West,Southeast,West,East,North,Northwest,Northeast,North,West,Northwest,South,East,Southwest,East,East,Northwest,East,East,West,Northwest,West,East,East,East,North,East,Northwest,Northeast,Northeast,East,North,West,East,West,West,East,West,North,Northwest,West,Northeast,Southwest,North,Northeast,South,West,Southwest,West,West,West,Northwest,West,East,Northwest,West,Northeast,West,North,Southeast,West,East,West,North,Northwest,East,East,South,East,#DIV/0!,Northwest,East,North,West,North,Northwest,North,East,Northeast,South,East,East,West,East,East,West,Northwest,North,Northeast,West,East,West,South,North,Northeast,Northwest,West,Southwest,Northeast,East,West,East,East,Northeast,South,South
Spain,East,East,Southeast,West,East,Southeast,West,West,Southwest,East,Southwest,Southeast,East,East,West,East,East,Southwest,Northeast,Northeast,West,South,West,East,Southwest,Southwest,East,Southeast,Southwest,Southeast,West,East,East,South,Southeast,East,Southeast,West,Southwest,West,Southeast,Southeast,Southwest,East,Southeast,Southeast,Southwest,Southeast,West,West,South,East,West,Southwest,East,Northeast,Southeast,Northeast,Southeast,Southwest,West,Southwest,East,West,South,Southeast,Northeast,Southeast,Southeast,West,North,West,Northeast,Northeast,West,Southeast,South,Southwest,East,Northeast,South,South,East,Northwest,Southwest,East,West,North,South,South,Southwest,West,West,East,East,Northwest,East,East,East,East,North,North,East,East,West,East,North,East,East,Southeast,West,East,East,East,East,Northeast,East,Southeast,South,Southeast,Northeast,Northeast,Northeast,East,Southeast,Southeast,East,Southeast,South,East,East,South,Southeast,West,East,East,East,East,East,West,South,Southeast,East,South,East,East,Northeast,East,Southeast,West,Southeast,South,West,East,East,East,East,Northeast,East,East,East,East,Southwest,East,Southwest,Southwest,East,Southwest,Northeast,West,West,East,Southeast,East,East,Southeast,West,South,West,Southwest,West,West,Southwest,West,East,South,East,South,East,Southeast,South,East,West,East,East,East,Southeast,South,East,Southeast,#DIV/0!,East,Southeast,Southwest,Northeast,Northeast,East,East,East,Southeast,East,East,South,West,West,Southwest,Southeast,East,East,West,West,West,Southeast,East,East,North,West,Southwest,East,East,Southwest,East,West,Southeast,Southeast,Southeast
Sri Lanka,Northwest,Northwest,West,East,Northwest,West,West,West,West,Northwest,West,Southeast,Northwest,Northwest,West,Northwest,Northeast,West,Northwest,Northwest,West,West,West,Northeast,West,West,Northwest,Southwest,West,Southwest,West,East,Northwest,West,West,East,West,East,West,West,West,West,West,Northeast,Southeast,Southeast,West,Southwest,East,West,West,Northwest,West,West,Northwest,Northwest,West,Northwest,West,West,West,West,West,West,West,West,Northwest,Southwest,West,Southwest,Northwest,East,Northwest,Northwest,East,South,West,West,Northwest,Northwest,West,West,Northwest,Northwest,West,East,West,Northwest,West,West,West,West,West,Northeast,Northwest,Northwest,North,East,Northwest,Northwest,Northwest,Northwest,Northwest,Northwest,West,Northeast,Northwest,Northwest,North,West,East,Northwest,Northwest,North,Northeast,Northwest,Northwest,Southwest,West,West,Northwest,Northwest,Northwest,Northeast,Southwest,Southwest,East,Southwest,West,Northwest,East,West,Southwest,East,East,Northwest,Northwest,Northeast,Northwest,West,West,Southwest,Northeast,Southwest,East,North,Northwest,East,Southeast,West,West,West,East,Southeast,Northeast,Northwest,East,Northwest,Northwest,Northwest,East,Northwest,West,East,West,West,East,East,Northwest,West,West,Northwest,West,Northwest,Northeast,West,West,West,West,West,West,West,West,East,Northwest,West,Northwest,West,Northwest,Southwest,West,East,West,Northwest,Northwest,East,West,Southwest,Northeast,West,West,#DIV/0!,West,West,Northwest,Northwest,Northwest,East,North,West,East,East,West,East,East,West,West,Northwest,Northwest,West,East,West,West,Northwest,Northwest,Northwest,West,West,Northwest,East,West,East,East,West,West,Southwest
Sudan,Northeast,North,Northwest,East,Northwest,Southwest,West,West,Southwest,Northeast,West,East,Northwest,Northeast,West,Northeast,East,West,North,Northwest,West,West,West,East,West,West,North,South,West,Southeast,West,East,North,West,South,East,West,West,West,West,Southwest,West,Southwest,East,East,East,West,Southeast,East,West,West,Northwest,West,West,North,North,Southwest,Northwest,East,West,West,West,North,West,Southwest,East,North,South,East,Southwest,Northwest,East,North,Northwest,West,Southeast,Southwest,West,Northeast,Northwest,West,Northwest,North,Northwest,West,East,West,Northwest,West,West,West,West,West,East,North,Northwest,East,East,Northeast,Northeast,Northwest,Northwest,North,Northwest,West,East,Northwest,North,Northeast,Southeast,East,North,Northeast,Northeast,East,North,North,South,West,Northwest,Northwest,North,Northwest,East,Southeast,South,East,East,West,Northwest,East,West,Southeast,West,East,North,Northwest,Northeast,North,West,Northwest,South,East,South,East,East,Northwest,East,East,West,West,West,East,East,East,North,East,Northwest,East,Northeast,East,North,West,East,West,West,East,West,North,Northwest,West,Northeast,Southwest,North,Northeast,South,West,Southwest,West,West,West,West,West,East,Northwest,Southwest,Northeast,West,North,Southeast,West,East,West,North,Northwest,East,Southeast,South,East,South,Northwest,East,#DIV/0!,West,North,Northwest,North,East,Northeast,South,East,East,West,East,East,West,Northwest,North,Northeast,West,East,West,South,North,Northeast,Northwest,West,Southwest,Northeast,East,West,East,East,East,South,South
Suriname,East,Northeast,Northeast,West,Northeast,East,Northwest,Northwest,South,East,Northwest,West,Northeast,East,Northwest,East,East,North,Northeast,Northeast,West,East,North,East,South,Northwest,Northeast,East,South,East,Northwest,East,Northeast,East,East,East,East,Northwest,East,Northwest,East,East,South,East,East,East,West,East,West,West,East,Northeast,Northwest,Northwest,East,Northeast,East,Northeast,East,Northwest,Northwest,West,East,West,East,East,Northeast,East,East,South,Northeast,West,Northeast,Northeast,West,Southeast,East,East,East,Northeast,East,Northeast,Northeast,North,Northwest,West,West,Northeast,East,East,West,Northwest,West,East,Northeast,Northeast,East,East,East,East,Northeast,Northeast,East,Northeast,Northwest,West,Northeast,East,East,East,West,Northeast,East,East,East,Northeast,East,East,East,East,Northeast,Northeast,Northeast,East,East,East,East,East,East,Northeast,West,East,East,Northwest,West,Northeast,Northeast,East,Northeast,Northwest,Northeast,East,East,East,West,East,Northeast,West,West,West,East,East,West,West,West,Northeast,West,Northeast,East,East,West,East,West,West,South,Southwest,East,West,Northeast,Northeast,Northwest,East,East,Northeast,East,East,Northwest,Southeast,Northwest,Northwest,Northwest,North,Northwest,West,Northeast,East,East,East,Northeast,East,East,East,Northwest,Northeast,Northeast,West,East,Southeast,West,East,Northeast,East,East,#DIV/0!,Northeast,Northeast,East,East,East,East,East,West,East,West,West,Northwest,Northeast,East,East,Northwest,West,Northwest,East,Northeast,East,Northeast,Northwest,South,East,West,West,East,West,East,East,East
Sweden,Southeast,South,Southwest,Southeast,Southwest,South,Southwest,Southwest,West,Southeast,Southwest,Southeast,South,Southeast,West,Southeast,Southeast,Southwest,Southeast,Southwest,West,South,West,Southeast,Southwest,Southwest,South,South,Southwest,Southeast,Southwest,Southeast,South,Southwest,South,Southeast,South,West,Southwest,West,South,South,West,East,Southeast,Southeast,Southwest,South,Southwest,Southwest,Southwest,South,West,Southwest,Southeast,South,South,Southwest,Southeast,Southwest,Southwest,Southwest,South,Southwest,South,Southeast,East,South,Southeast,West,West,Southeast,East,Southwest,Southwest,East,South,Southwest,Southeast,Southwest,South,Southwest,South,West,Southwest,East,West,Southwest,Southwest,Southwest,Southwest,Southwest,Southwest,East,South,West,Southeast,Southeast,Southeast,Southeast,West,West,Southeast,South,Southwest,East,Southwest,Southeast,East,South,East,South,Southeast,East,Southeast,Southeast,Southeast,South,Southwest,South,Southwest,Southeast,Southwest,East,South,South,Southeast,Southeast,Southwest,South,East,Southwest,Southeast,West,East,Southeast,Southwest,East,South,Southwest,Southwest,South,Southeast,South,East,Southeast,Southwest,Southeast,East,Southwest,South,South,Southeast,Southeast,East,South,East,West,Southeast,Southeast,Southeast,Southeast,Southwest,Southeast,Southwest,Southwest,Southeast,Southwest,South,Southwest,Southwest,Southeast,South,Southeast,East,South,Southwest,South,Southwest,Southwest,Southwest,West,Southwest,Southeast,South,South,Southeast,Southwest,South,Southeast,Southwest,Southeast,Southwest,South,South,Southeast,Southeast,East,East,South,Southwest,Southeast,South,Southwest,#DIV/0!,Southwest,Southeast,East,East,South,Southeast,Southeast,South,East,Southeast,Southwest,South,Southeast,Southeast,Southwest,Southeast,Southwest,South,Southeast,Southeast,West,West,West,East,Southeast,Southwest,Southeast,Southeast,Southeast,South,South
Switzerland,East,Southeast,South,West,Southwest,South,West,Southwest,Southwest,East,Southwest,Southeast,East,East,West,Southeast,East,Southwest,East,Northwest,West,South,West,East,Southwest,Southwest,East,South,Southwest,Southeast,West,East,East,South,Southeast,East,South,West,Southwest,West,South,South,Southwest,East,Southeast,Southeast,Southwest,Southeast,West,West,South,East,West,Southwest,Southeast,East,South,North,Southeast,Southwest,West,Southwest,Southeast,West,South,Southeast,Northeast,South,Southeast,West,Northwest,East,Northeast,West,West,East,South,Southwest,East,Northeast,South,Southwest,Southeast,Northwest,Southwest,East,West,West,Southwest,Southwest,Southwest,West,West,East,East,Northwest,East,Southeast,East,East,West,Northwest,Southeast,Southeast,West,East,West,Southeast,East,Southeast,West,East,Southeast,East,East,Northeast,Southeast,South,Southwest,Southeast,East,Northeast,Northwest,East,Southeast,Southeast,Southeast,Southeast,Southwest,Southeast,East,Southwest,Southeast,West,East,East,South,East,East,Southwest,Southwest,Southeast,East,South,East,East,Northwest,Southeast,Southeast,West,South,South,West,Southeast,East,East,East,North,Southeast,East,East,Southeast,Southwest,East,Southwest,Southwest,East,Southwest,Northeast,Southwest,West,Southeast,South,East,East,Southeast,West,South,Southwest,Southwest,West,West,Southwest,East,Southeast,South,Southeast,Southwest,East,Southeast,Southwest,Southeast,West,East,East,East,Southeast,South,East,Southeast,Southwest,Southeast,Southeast,Southwest,Northeast,#DIV/0!,East,East,East,Southeast,East,Southeast,South,East,East,Southwest,South,East,East,West,East,West,Southeast,East,Southeast,Northwest,West,Southwest,East,East,Southwest,East,East,Southeast,South,South
Syria,East,West,West,East,West,Southwest,West,West,Southwest,Northeast,West,Southeast,Northwest,Northeast,West,Southeast,East,West,Northwest,Northwest,West,Southwest,West,East,Southwest,West,Northwest,South,Southwest,Southeast,West,East,Northwest,Southwest,South,East,Southwest,West,West,West,Southwest,Southwest,Southwest,East,Southeast,Southeast,West,South,East,West,Southwest,Northwest,West,West,West,Northwest,Southwest,Northwest,South,West,West,West,Southwest,West,Southwest,South,Northwest,South,South,Southwest,Northwest,East,Northwest,West,East,South,Southwest,West,Northeast,Northwest,Southwest,West,West,Northwest,West,East,West,West,Southwest,Southwest,West,West,West,East,Northwest,Northwest,East,Southeast,East,East,West,Northwest,Southwest,West,West,East,West,Southwest,Northeast,South,East,Northwest,Southeast,East,East,Northwest,West,South,Southwest,West,Northwest,Northwest,Northwest,East,South,South,Southeast,Southeast,West,West,East,West,South,West,East,Northwest,West,East,West,West,West,South,East,South,East,East,Northwest,Southeast,Southeast,West,Southwest,Southwest,East,Southeast,East,West,East,Northwest,Southeast,East,East,Southwest,West,East,Southwest,West,East,West,Northwest,West,West,Southeast,Southwest,Northwest,East,South,West,Southwest,West,West,West,West,West,East,West,Southwest,Southeast,West,Northwest,Southeast,Southwest,Southeast,West,Northwest,Northwest,East,South,South,East,South,West,Southeast,South,West,Northwest,West,#DIV/0!,East,East,South,East,Southeast,Southwest,East,East,West,West,Northwest,East,West,East,West,South,Northwest,Southeast,Northwest,West,Southwest,East,East,West,East,East,Southeast,South,South
